Filename                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
libs/core/include/sen/core/io/output_stream.h                             22                 0   100.00%          15                 0   100.00%          28                 0   100.00%           4                 0   100.00%
libs/core/include/sen/core/io/util.h                                      37                 1    97.30%          15                 0   100.00%         126                 4    96.83%          20                 2    90.00%
libs/core/include/sen/core/lang/fom_parser.h                               1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
libs/core/include/sen/core/lang/stl_parser.h                               2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/include/sen/core/lang/stl_resolver.h                            10                 2    80.00%          10                 2    80.00%          12                 2    83.33%           0                 0         -
libs/core/include/sen/core/lang/stl_scanner.h                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/include/sen/core/lang/stl_token.h                               10                 0   100.00%           6                 0   100.00%           8                 0   100.00%           0                 0         -
libs/core/include/sen/core/lang/vm.h                                       6                 0   100.00%           6                 0   100.00%          10                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/alias_type.h                              14                 0   100.00%           4                 0   100.00%          14                 0   100.00%           8                 0   100.00%
libs/core/include/sen/core/meta/basic_traits.h                             3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/callable.h                                30                 0   100.00%           8                 0   100.00%          38                 0   100.00%          22                 0   100.00%
libs/core/include/sen/core/meta/class_type.h                               9                 0   100.00%           2                 0   100.00%          23                 0   100.00%          10                 0   100.00%
libs/core/include/sen/core/meta/custom_type.h                              1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/detail/native_types_impl.h                38                 0   100.00%          29                 0   100.00%          41                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/detail/type_impl.h                         3                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/enum_traits.h                              5                 0   100.00%           5                 0   100.00%           5                 0   100.00%           0                 0         -
libs/core/include/sen/core/meta/enum_type.h                               28                 0   100.00%           6                 0   100.00%          25                 0   100.00%          22                 1    95.45%
libs/core/include/sen/core/meta/event.h                                    2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
